United States,USA,8/28/21,25435,44436,410
United States,USA,8/29/21,25781,44437,411
United States,USA,8/30/21,25919,44438,412
United States,USA,8/31/21,25904,44439,413
United States,USA,9/1/21,25963,44440,414
United States,USA,9/2/21,26045,44441,415
United States,USA,9/3/21,25961,44442,416
United States,USA,9/4/21,25609,44443,417
United States,USA,9/5/21,25630,44444,418
United States,USA,9/6/21,25801,44445,419
United States,USA,9/7/21,26099,44446,420
United States,USA,9/8/21,25998,44447,421
United States,USA,9/9/21,25925,44448,422
United States,USA,9/10/21,25747,44449,423
United States,USA,9/11/21,25326,44450,424
United States,USA,9/12/21,25292,44451,425
United States,USA,9/13/21,25514,44452,426
United States,USA,9/14/21,25218,44453,427
United States,USA,9/15/21,24877,44454,428
United States,USA,9/16/21,24734,44455,429
United States,USA,9/17/21,24435,44456,430
United States,USA,9/18/21,23978,44457,431
United States,USA,9/19/21,23779,44458,432
United States,USA,9/20/21,23686,44459,433
United States,USA,9/21/21,23536,44460,434
United States,USA,9/22/21,23127,44461,435
United States,USA,9/23/21,22585,44462,436
United States,USA,9/24/21,22185,44463,437
United States,USA,9/25/21,21727,44464,438
United States,USA,9/26/21,21543,44465,439
United States,USA,9/27/21,21256,44466,440
United States,USA,9/28/21,20882,44467,441
United States,USA,9/29/21,20400,44468,442
United States,USA,9/30/21,19802,44469,443
United States,USA,10/1/21,19272,44470,444
United States,USA,10/2/21,18942,44471,445
United States,USA,10/3/21,18770,44472,446
United States,USA,10/4/21,18674,44473,447
United States,USA,10/5/21,18261,44474,448
United States,USA,10/6/21,17911,44475,449
United States,USA,10/7/21,17482,44476,450
United States,USA,10/8/21,17010,44477,451
United States,USA,10/9/21,17374,44478,452
United States,USA,10/10/21,17888,44479,453
United States,USA,10/11/21,17902,44480,454
United States,USA,10/12/21,17755,44481,455
United States,USA,10/13/21,17534,44482,456
United States,USA,10/14/21,17069,44483,457
United States,USA,10/15/21,16724,44484,458
United States,USA,10/16/21,16201,44485,459
United States,USA,10/17/21,16038,44486,460
United States,USA,10/18/21,16213,44487,461
United States,USA,10/19/21,15980,44488,462
United States,USA,10/20/21,15678,44489,463
United States,USA,10/21/21,15312,44490,464
United States,USA,10/22/21,15078,44491,465
United States,USA,10/23/21,14681,44492,466
United States,USA,10/24/21,14445,44493,467
United States,USA,10/25/21,14612,44494,468
United States,USA,10/26/21,14543,44495,469
United States,USA,10/27/21,14398,44496,470
United States,USA,10/28/21,14100,44497,471
United States,USA,10/29/21,12455,44498,472
United States,USA,10/30/21,12152,44499,473
United States,USA,10/31/21,12092,44500,474
United States,USA,11/1/21,12108,44501,475
United States,USA,11/2/21,11947,44502,476
United States,USA,11/3/21,11766,44503,477
United States,USA,11/4/21,11555,44504,478
United States,USA,11/5/21,11341,44505,479
United States,USA,11/6/21,11231,44506,480
United States,USA,11/7/21,11210,44507,481
United States,USA,11/8/21,11332,44508,482
United States,USA,11/9/21,11356,44509,483
United States,USA,11/10/21,11289,44510,484
United States,USA,11/11/21,11280,44511,485
United States,USA,11/12/21,11271,44512,486
United States,USA,11/13/21,11296,44513,487
United States,USA,11/14/21,11264,44514,488
United States,USA,11/15/21,11534,44515,489
United States,USA,11/16/21,11599,44516,490
United States,USA,11/17/21,11664,44517,491
United States,USA,11/18/21,11792,44518,492
United States,USA,11/19/21,11823,44519,493
United States,USA,11/20/21,11785,44520,494
United States,USA,11/21/21,11973,44521,495
United States,USA,11/22/21,12296,44522,496
United States,USA,11/23/21,12329,44523,497
United States,USA,11/24/21,12448,44524,498
United States,USA,11/25/21,12471,44525,499
United States,USA,11/26/21,12654,44526,500
United States,USA,11/27/21,12849,44527,501
United States,USA,11/28/21,13105,44528,502
United States,USA,11/29/21,13379,44529,503
United States,USA,11/30/21,13545,44530,504
United States,USA,12/1/21,13671,44531,505
United States,USA,12/2/21,13772,44532,506
United States,USA,12/3/21,13888,44533,507
United States,USA,12/4/21,13942,44534,508
United States,USA,12/5/21,14149,44535,509
United States,USA,12/6/21,14455,44536,510
United States,USA,12/7/21,14771,44537,511
United States,USA,12/8/21,14901,44538,512
United States,USA,12/9/21,14992,44539,513
United States,USA,12/10/21,15236,44540,514
United States,USA,12/11/21,15326,44541,515
United States,USA,12/12/21,15595,44542,516
United States,USA,12/13/21,15914,44543,517
United States,USA,12/14/21,15993,44544,518
United States,USA,12/15/21,15896,44545,519
United States,USA,12/16/21,15909,44546,520
United States,USA,12/17/21,15941,44547,521
United States,USA,12/18/21,15906,44548,522
United States,USA,12/19/21,15983,44549,523
United States,USA,12/20/21,16210,44550,524
United States,USA,12/21/21,16148,44551,525
United States,USA,12/22/21,16251,44552,526
United States,USA,12/23/21,16187,44553,527
United States,USA,12/24/21,16240,44554,528
United States,USA,12/25/21,16356,44555,529
United States,USA,12/26/21,16590,44556,530
